latitude,longitude
-11.649999999999999,-42.25
-11.649999999999999,-42.0
-11.649999999999999,-41.75
-11.649999999999999,-41.5
-11.649999999999999,-41.25
-11.649999999999999,-41.0
-11.649999999999999,-40.75
-11.649999999999999,-40.5
-11.649999999999999,-40.25
-11.649999999999999,-40.0
-11.649999999999999,-39.75
-11.649999999999999,-39.5
-11.649999999999999,-39.25
-11.649999999999999,-39.0
-11.649999999999999,-38.75
-11.649999999999999,-38.5
-11.649999999999999,-38.25
-11.649999999999999,-38.0
-11.649999999999999,-37.75
-11.649999999999999,-37.5
-11.399999999999999,-45.0
-11.399999999999999,-44.75
-11.399999999999999,-44.5
-11.399999999999999,-44.25
-11.399999999999999,-44.0
-11.399999999999999,-43.75
-11.399999999999999,-43.5
-11.399999999999999,-43.25
-11.399999999999999,-43.0
-11.399999999999999,-42.75
-11.399999999999999,-42.5
-11.399999999999999,-42.25
-11.399999999999999,-42.0
-11.399999999999999,-41.75
-11.399999999999999,-41.5
-11.399999999999999,-41.25
-11.399999999999999,-41.0
-11.399999999999999,-40.75
-11.399999999999999,-40.5
-11.399999999999999,-40.25
-11.399999999999999,-40.0
-11.399999999999999,-39.75
-11.399999999999999,-39.5
-11.399999999999999,-39.25
-11.399999999999999,-39.0
-11.399999999999999,-38.75
-11.399999999999999,-38.5
-11.399999999999999,-38.25
-11.399999999999999,-38.0
-11.399999999999999,-37.75
-11.399999999999999,-37.5
-11.149999999999999,-45.0
-11.149999999999999,-44.75
-11.149999999999999,-44.5
-11.149999999999999,-44.25
-11.149999999999999,-44.0
-11.149999999999999,-43.75
-11.149999999999999,-43.5
-11.149999999999999,-43.25
-11.149999999999999,-43.0
-11.149999999999999,-42.75
-11.149999999999999,-42.5
-11.149999999999999,-42.25
-11.149999999999999,-42.0
-11.149999999999999,-41.75
-11.149999999999999,-41.5
-11.149999999999999,-41.25
-11.149999999999999,-41.0
-11.149999999999999,-40.75
-11.149999999999999,-40.5
-11.149999999999999,-40.25
-11.149999999999999,-40.0
-11.149999999999999,-39.75
-11.149999999999999,-39.5
-11.149999999999999,-39.25
-11.149999999999999,-39.0
-11.149999999999999,-38.75
-11.149999999999999,-38.5
-11.149999999999999,-38.25
-11.149999999999999,-38.0
-11.149999999999999,-37.75
-11.149999999999999,-37.5
-11.149999999999999,-37.25
-10.899999999999999,-45.0
-10.899999999999999,-44.75
-10.899999999999999,-44.5
-10.899999999999999,-44.25
-10.899999999999999,-44.0
-10.899999999999999,-43.75
-10.899999999999999,-43.5
-10.899999999999999,-43.25
-10.899999999999999,-43.0
-10.899999999999999,-42.75
-10.899999999999999,-42.5
-10.899999999999999,-42.25
-10.899999999999999,-42.0
-10.899999999999999,-41.75
-10.899999999999999,-41.5
-10.899999999999999,-41.25
-10.899999999999999,-41.0
-10.899999999999999,-40.75
-10.899999999999999,-40.5
-10.899999999999999,-40.25
-10.899999999999999,-40.0
-10.899999999999999,-39.75
-10.899999999999999,-39.5
-10.899999999999999,-39.25
-10.899999999999999,-39.0
-10.899999999999999,-38.75
-10.899999999999999,-38.5
-10.899999999999999,-38.25
-10.899999999999999,-38.0
-10.899999999999999,-37.75
-10.899999999999999,-37.5
-10.899999999999999,-37.25
-10.899999999999999,-37.0
-10.649999999999999,-45.0
-10.649999999999999,-44.75
-10.649999999999999,-44.5
-10.649999999999999,-44.25
-10.649999999999999,-44.0
-10.649999999999999,-43.75
-10.649999999999999,-43.5
-10.649999999999999,-43.25
-10.649999999999999,-43.0
-10.649999999999999,-42.75
-10.649999999999999,-42.5
-10.649999999999999,-42.25
-10.649999999999999,-42.0
-10.649999999999999,-41.75
-10.649999999999999,-41.5
-10.649999999999999,-41.25
-10.649999999999999,-41.0
-10.649999999999999,-40.75
-10.649999999999999,-40.5
-10.649999999999999,-40.25
-10.649999999999999,-40.0
-10.649999999999999,-39.75
-10.649999999999999,-39.5
-10.649999999999999,-39.25
-10.649999999999999,-39.0
-10.649999999999999,-38.75
-10.649999999999999,-38.5
-10.649999999999999,-38.25
-10.649999999999999,-38.0
-10.649999999999999,-37.75
-10.649999999999999,-37.5
-10.649999999999999,-37.25
-10.649999999999999,-37.0
-10.649999999999999,-36.75
-10.399999999999999,-45.0
-10.399999999999999,-44.75
-10.399999999999999,-44.5
-10.399999999999999,-44.25
-10.399999999999999,-44.0
-10.399999999999999,-43.75
-10.399999999999999,-43.5
-10.399999999999999,-43.25
-10.399999999999999,-43.0
-10.399999999999999,-42.75
-10.399999999999999,-42.5
-10.399999999999999,-42.25
-10.399999999999999,-42.0
-10.399999999999999,-41.75
